PassengerID,PClass,Age,Sex,Survived
1,1st,29,female,1
2,1st,2,female,0
3,1st,30,male,0
4,1st,25,female,0
5,1st,0.92,male,1
6,1st,47,male,1
7,1st,63,female,1
8,1st,39,male,0
9,1st,58,female,1
10,1st,71,male,0
11,1st,47,male,0
12,1st,19,female,1
13,1st,NA,female,1
14,1st,NA,male,1
15,1st,NA,male,0
16,1st,50,female,1
17,1st,24,male,0
18,1st,36,male,0
19,1st,37,male,1
20,1st,47,female,1
21,1st,26,male,1
22,1st,25,male,0
23,1st,25,male,1
24,1st,19,female,1
25,1st,28,male,1
26,1st,45,male,0
27,1st,39,male,1
28,1st,30,female,1
29,1st,58,female,1
30,1st,NA,male,0
31,1st,45,female,1
32,1st,22,female,1
33,1st,NA,male,1
34,1st,41,male,0
35,1st,48,male,0
36,1st,NA,male,0
37,1st,44,female,1
38,1st,59,female,1
39,1st,60,female,1
40,1st,45,male,0
41,1st,NA,male,1
42,1st,53,female,1
43,1st,58,female,1
44,1st,36,male,1
45,1st,33,male,0
46,1st,NA,male,0
47,1st,NA,male,0
48,1st,36,male,1
49,1st,36,female,1
50,1st,14,female,1
51,1st,11,male,1
52,1st,49,male,0
53,1st,NA,female,1
54,1st,36,male,0
55,1st,NA,female,1
56,1st,46,male,0
57,1st,47,female,1
58,1st,27,male,1
59,1st,31,female,1
60,1st,NA,female,1
61,1st,NA,male,1
62,1st,NA,female,1
63,1st,NA,male,0
64,1st,27,male,0
65,1st,26,female,1
66,1st,NA,male,0
67,1st,NA,male,0
68,1st,64,female,1
69,1st,37,male,0
70,1st,39,female,1
71,1st,55,female,1
72,1st,NA,male,0
73,1st,70,male,0
74,1st,69,female,1
75,1st,36,female,1
76,1st,39,male,0
77,1st,38,female,1
78,1st,NA,male,1
79,1st,27,male,1
80,1st,31,male,0
81,1st,27,female,1
82,1st,NA,female,1
83,1st,31,male,1
84,1st,17,female,1
85,1st,NA,male,1
86,1st,NA,female,1
87,1st,4,male,1
88,1st,27,female,1
89,1st,50,male,0
90,1st,48,female,1
91,1st,49,male,1
92,1st,48,female,1
93,1st,39,male,0
94,1st,23,female,1
95,1st,53,female,1
96,1st,36,female,0
97,1st,NA,female,1
98,1st,NA,male,1
99,1st,30,male,0
100,1st,24,female,1
101,1st,19,male,0
102,1st,28,female,1
103,1st,23,female,1
104,1st,64,male,0
105,1st,60,female,1
106,1st,NA,male,0
107,1st,49,male,1
108,1st,NA,female,1
109,1st,44,male,1
110,1st,22,female,1
111,1st,60,male,1
112,1st,48,female,1
113,1st,37,male,0
114,1st,35,female,1
115,1st,47,male,0
116,1st,22,female,1
117,1st,45,female,1
118,1st,49,male,1
119,1st,NA,female,1
120,1st,71,male,0
121,1st,54,male,1
122,1st,38,male,0
123,1st,19,female,1
124,1st,58,female,1
125,1st,45,female,1
126,1st,23,male,1
127,1st,46,male,0
128,1st,25,male,1
129,1st,21,female,1
130,1st,48,male,1
131,1st,49,female,1
132,1st,45,male,0
133,1st,36,female,1
134,1st,NA,male,1
135,1st,55,male,0
136,1st,52,female,1
137,1st,24,female,1
138,1st,NA,male,0
139,1st,NA,male,0
140,1st,NA,male,0
141,1st,16,female,1
142,1st,44,female,1
143,1st,51,female,1
144,1st,42,male,0
145,1st,35,female,1
146,1st,35,male,1
147,1st,38,male,1
148,1st,35,female,1
149,1st,NA,male,0
150,1st,50,female,0
151,1st,49,male,1
152,1st,46,male,0
153,1st,NA,male,0
